Núm.,Tipo,Estado,Descripción,Usuario Reporta,Solicitado a,Auditor Global,Proceso,Fecha de Creación,Fecha Cierre,Norma y Numeral,Acción Eficaz,Acción Correctiva,%Avance Eficaz,%Avance Plan de Acciones
1772,No Conformidad,Abierta,"3. El prestador de servicios de salud determina la cantidad necesaria de talento humano requerido para cada uno de los servicios ofertados y prestados, de acuerdo con la capacidad instalada, la relación entre oferta y demanda, la oportunidad en la prestación, tiempo de la atención y el riesgo en la atención. Este criterio no aplica para el profesional independiente de salud: Cuentan con un documento ""MANUAL DE SUFICIENCIA DE PERSONAL ESE SURORIENTE"" Codigo MA-AP-TH-02 vERSION 2 DE oCTUBRE DE 20...",Administrador,calidad,,Gestión de Talento Humano,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,1. Talento Humano,,,,
1773,No Conformidad,Abierta,"28.1.4. Las áreas están separadas entre sí por barrera física fija o móvil, con excepción de los consultorios del servicio de urgencias, optometría y oftalmología, donde no se requiere: En la E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, los consultorios no cuentan con barrera física fija o movil. (No biomos ya que generan riesgos de caídas por las extensiones de las patas de soporte).",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,2. Infraestructura,,,,
1774,No Conformidad,Abierta,"38. La unidad sanitaria adaptada para personas con movilidad reducida cuenta con: 38.1. Sanitario. 38.2. Lavamanos. 38.3. Dimensiones que permita el desplazamiento del paciente y maniobra en su interior, las puertas tienen un ancho que permite el fácil acceso de pacientes en sillas de ruedas: La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida. La E.S.E. Empresa Social del Es...",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,2. Infraestructura,,,,
1775,No Conformidad,Abierta,"38.4. Puertas corredizas o con apertura hacia el exterior. 38.5. Accesorios que facilite la accesibilidad, movilidad y seguridad del usuario. 38.6. Alarma o sistema de llamado: La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida. La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para persona...",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,2. Infraestructura,,,,
1776,No Conformidad,Abierta,"GENERALIDADES DE LAS CONDICIONES DE ORDEN, ASEO, LIMPIEZA Y DESINFECCIÓN: 41. Las condiciones de orden, aseo, limpieza y desinfección son evidentes y responden a un proceso dinámico de acuerdo con los servicios prestados: El prestador presenta el Manual de limpieza y desinfección Código PTA-MI-SG 03 Versón1 fecha 2021. En el cual se evidencia la definidos los elementos de uso para ejecutar la actividad. Se evidencia en el recorrido que se encuentran las áreas limpias y en orden. Se recomienda d...",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,2. Infraestructura,,,,
