Tipo,Num,Proceso,Enviar A,Fecha Hallazgo,Estado,Eficacia Global,Descripción,Servicio,Fuente,Reportado Por,Indicador,Actividad,,,,,,Fecha Cierre Proyectada,Avance %,Dias,Fecha Cierre,Causa Raiz
,,,,,,,,,,,,Actividad,Responsable,Fecha Compromiso,Eficacia,Seguimiento,Fecha Seguimiento,,,,,
No Conformidad,1772,Gestión de Talento Humano,calidad,21/Mar/2025,Vencida,,"3. El prestador de servicios de salud determina la cantidad necesaria de talento humano requerido para cada uno de los servicios ofertados y prestados, de acuerdo con la capacidad instalada, la relación entre oferta y demanda, la oportunidad en la prestación, tiempo de la atención y el riesgo en la atención. Este criterio no aplica para el profesional independiente de salud: Cuentan con un documento ""MANUAL DE SUFICIENCIA DE PERSONAL ESE SURORIENTE"" Codigo MA-AP-TH-02 vERSION 2 DE oCTUBRE DE 2024, con el cual buscan estructurar la prestacion del servicio de salud suficiente frente a la demanda de servicios que generan los pobladores del macizo colombiano, pero debe ser especifico a la unidad de nivel de atencion san juan de villalobos, ya que deben definir la demanda del corregimiento con los servicios prestados a diferencia de la cabecera municipal.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1773,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"28.1.4. Las áreas están separadas entre sí por barrera física fija o móvil, con excepción de los consultorios del servicio de urgencias, optometría y oftalmología, donde no se requiere: En la E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, los consultorios no cuentan con barrera física fija o movil. (No biomos ya que generan riesgos de caídas por las extensiones de las patas de soporte).",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1774,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"38. La unidad sanitaria adaptada para personas con movilidad reducida cuenta con: 38.1. Sanitario. 38.2. Lavamanos. 38.3. Dimensiones que permita el desplazamiento del paciente y maniobra en su interior, las puertas tienen un ancho que permite el fácil acceso de pacientes en sillas de ruedas: La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida. La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida. La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1775,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"38.4. Puertas corredizas o con apertura hacia el exterior. 38.5. Accesorios que facilite la accesibilidad, movilidad y seguridad del usuario. 38.6. Alarma o sistema de llamado: La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida. La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida. La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, no cuenta con unidad sanitaria para personas con movilidad reducida.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1776,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"GENERALIDADES DE LAS CONDICIONES DE ORDEN, ASEO, LIMPIEZA Y DESINFECCIÓN: 41. Las condiciones de orden, aseo, limpieza y desinfección son evidentes y responden a un proceso dinámico de acuerdo con los servicios prestados: El prestador presenta el Manual de limpieza y desinfección Código PTA-MI-SG 03 Versón1 fecha 2021. En el cual se evidencia la definidos los elementos de uso para ejecutar la actividad. Se evidencia en el recorrido que se encuentran las áreas limpias y en orden. Se recomienda definir las actividades de limpieza y desinfección en los servicio de alta rotación de usuarios. (en el recorrido se evidencia que no se realiza un buen procedimiento de aseo ya que se observan telarañas e isectos, en medio de las ventanas y las rejas de seguridad).",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1777,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"44. En los servicios de cirugía, atención del parto, ambiente TPR, salas de procedimientos, consultorios donde se realicen procedimientos, servicios de internación en cuidado básico, intermedio e intensivo, urgencias, diálisis, hemodinamia e intervencionismo, laboratorios, gestión pre transfusional, quimioterapia, consulta odontológica y los ambientes o áreas donde se requieran procesos de limpieza y asepsia más profundos, adicional al criterio anterior, la unión entre paredes o muros y el piso, debe ser en media caña evitando la formación de aristas o de esquinas: La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, En los servicios de odontología, salas de procedimientos, consulta odontológica y los ambientes o áreas donde se requieran procesos de limpieza y asepsia más profundos, adicional al criterio anterior, la unión entre paredes o muros y el piso, debe no es en media caña que evite la formación de aristas o de esquinas. facilitando la limpieza, asepsia y desinfección de los diferentes ambientes.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1778,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"45. En los servicios de cirugía, atención del parto, ambiente TPR y el ambiente de esterilización, la unión entre cielo raso o techo y la pared o muro y la unión entre paredes o muros, debe contar con media caña, evitando la formación de aristas o de esquinas: La E.S.E. Empresa Social del Estado del Suroriente. unidad de atención en salud, San Juan de Villalobos, En los servicios de odontología, salas de procedimientos, consulta odontológica y los ambientes o áreas donde se requieran procesos de limpieza y asepsia más profundos, adicional al criterio anterior, la unión entre paredes o muros y el piso, debe no es en media caña que evite la formación de aristas o de esquinas. facilitando la limpieza, asepsia y desinfección de los diferentes ambientes.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1779,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"2. El prestador de servicios de salud garantiza las condiciones técnicas de calidad de los equipos biomédicos, para lo cual cuenta con: 2.1. Programa de mantenimiento preventivo de los equipos biomédicos, que incluya el cumplimiento de las recomendaciones establecidas por el fabricante o de acuerdo con el protocolo de mantenimiento que tenga definido el prestador, éste último cuando no esté definido por el fabricante: Cuenta con ""Plan de Mantenimiento Hospitalario 2025"" no incluye las recomendaciones establecidas por el fabricante para dicho mantenimiento. Además, el prestador debe incorporar los equipos de la sede San Juan de Villalobos, ya que en el plan se mencionan los equipos de todas las sedes, pero no se reflejan adecuadamente los de esta sede en particular. Se observa una lista de equipos de Santa Rosa en la que el ingeniero señala que forma parte de San Juan de Villalobos, pero dicha lista no incluye los equipos correspondientes a esta sede.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1780,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"2.2. Hoja(s) de vida del(los) equipo(s) biomédicos(s), con los registros de los mantenimientos preventivos y correctivos, según corresponda: Cuenta con hojas de vida de los equipos en las cuales se registra la periodicidad de mantenimiento cuatrimestral, se evidencian reportes de mantenimiento preventivo realizados en noviembre de 2024, algunos equipos como: pulsioximetro, marca: BTL, serie: M017E060723, tensiómetro, marca: prestige, serie: 307210, doppler fetal, marca: edan, serie: 304150- M14600240080, bascula, marca: health o meter y serie: 800B262124202, no cuentan con reportes de mantenimiento preventivo ya que en el reporte se evidencia una nota “equipo no se encontraba en el servicio al momento de realizar el mantenimiento preventivo”. Los equipos presentados para la modalidad extramural del servicio de medicina general y odontologia no cuentan con hoja de vida y reportes de mantenimiento preventivo.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
